case_file,n_ner_types_a,n_ner_types_b,n_ner_mentions_a,n_ner_mentions_b,n_mapped_types_a,n_mapped_types_b,n_concepts_a,n_concepts_b,n_concepts_intersection,n_concepts_a_only,n_concepts_b_only,n_string_surface_intersection,jaccard_concepts_a_b,mean_depth_weighted_a,mean_depth_weighted_b,mean_depth_weighted_b_minus_a
case_001.txt,9,30,9,31,6,13,6,13,2,4,11,3,0.117647,6.0,8.1429,2.1429
case_002.txt,6,26,7,27,4,16,4,16,3,1,13,3,0.176471,6.5,8.6471,2.1471
case_003.txt,8,26,8,28,3,13,3,13,2,1,11,5,0.142857,8.6667,7.5333,-1.1333
case_005.txt,18,24,20,33,12,16,11,16,1,10,15,2,0.038462,10.0,11.35,1.35
case_006.txt,50,49,54,64,24,24,24,24,2,22,22,4,0.043478,8.1538,8.8276,0.6737
case_007.txt,11,29,14,30,8,16,8,16,2,6,14,3,0.090909,8.8,9.5625,0.7625
case_008.txt,11,25,12,28,7,14,7,14,2,5,12,4,0.105263,7.625,7.0588,-0.5662
case_010.txt,16,25,17,29,9,17,9,17,1,8,16,1,0.04,13.5,7.35,-6.15
case_011.txt,30,42,35,54,19,25,19,25,7,12,18,8,0.189189,7.6087,9.2857,1.677
case_012.txt,7,29,7,32,3,14,3,14,0,3,14,0,0.0,13.3333,10.5625,-2.7708
case_013.txt,15,31,17,33,10,18,9,17,1,8,16,4,0.04,9.3333,7.7895,-1.5439
case_014.txt,10,30,10,34,7,14,7,14,2,5,12,1,0.105263,8.0,9.5,1.5
case_015.txt,4,24,4,25,3,16,3,16,1,2,15,1,0.055556,7.6667,8.3125,0.6458
case_016.txt,27,33,27,40,16,21,16,21,2,14,19,2,0.057143,10.1875,8.3333,-1.8542
case_017.txt,12,32,12,37,6,18,6,18,1,5,17,3,0.043478,9.8333,9.9474,0.114
case_018.txt,14,30,14,34,8,19,8,19,1,7,18,3,0.038462,10.5,10.7143,0.2143
case_019.txt,11,27,14,29,7,18,7,18,1,6,17,1,0.041667,9.8,9.4737,-0.3263
case_020.txt,6,29,6,33,4,15,4,15,3,1,12,3,0.1875,7.25,6.1765,-1.0735
case_021.txt,17,27,19,33,9,16,9,16,4,5,12,6,0.190476,8.8182,8.7727,-0.0455
case_022.txt,10,25,10,27,9,15,9,15,2,7,13,2,0.090909,9.0,10.6875,1.6875
case_023.txt,37,36,38,42,15,17,15,17,3,12,14,5,0.103448,7.1333,8.3,1.1667
case_024.txt,17,23,17,27,15,14,15,14,3,12,11,3,0.115385,8.2,6.6667,-1.5333
case_025.txt,6,20,6,21,2,11,2,10,0,2,10,2,0.0,8.0,9.5455,1.5455
case_026.txt,6,25,7,31,3,16,3,16,1,2,15,1,0.055556,9.25,7.7143,-1.5357
case_027.txt,11,31,11,36,7,22,7,21,5,2,16,4,0.217391,10.1429,8.5556,-1.5873
case_028.txt,16,25,18,30,12,11,12,11,3,9,8,4,0.15,8.1667,10.0667,1.9
case_029.txt,35,49,42,67,24,30,24,29,7,17,22,9,0.152174,10.5862,8.875,-1.7112
case_030.txt,41,53,63,68,32,32,31,32,11,20,21,14,0.211538,8.9796,7.5238,-1.4558
case_031.txt,17,31,20,34,11,20,11,20,2,9,18,3,0.068966,9.7143,9.8261,0.1118
case_032.txt,19,33,20,37,12,20,12,20,4,8,16,6,0.142857,7.7692,7.5,-0.2692
case_033.txt,38,63,45,84,16,27,16,27,8,8,19,14,0.228571,6.55,7.275,0.725
case_034.txt,19,28,19,32,10,16,9,16,0,9,16,0,0.0,8.0,8.2632,0.2632
case_035.txt,6,14,6,15,3,8,3,7,1,2,6,3,0.111111,7.6667,12.25,4.5833
case_036.txt,24,26,25,34,16,17,16,17,5,11,12,5,0.178571,8.5882,7.4348,-1.1535
case_037.txt,22,29,24,32,15,19,15,18,3,12,15,2,0.1,8.1765,9.5455,1.369
case_039.txt,48,57,65,68,33,34,32,33,4,28,29,6,0.065574,7.093,7.8462,0.7531
case_040.txt,5,20,5,21,4,8,4,8,1,3,7,1,0.090909,8.0,7.4444,-0.5556
case_041.txt,13,31,15,35,7,20,7,20,3,4,17,4,0.125,9.1111,9.7143,0.6032
case_042.txt,34,48,44,62,22,22,22,22,4,18,18,4,0.1,8.0968,6.9615,-1.1352
case_043.txt,31,37,37,41,17,24,17,24,4,13,20,6,0.108108,9.2381,11.1154,1.8773
case_044.txt,42,49,54,56,23,35,23,35,8,15,27,8,0.16,9.1333,7.75,-1.3833
case_045.txt,38,62,56,75,24,31,23,31,7,16,24,9,0.148936,8.5429,7.875,-0.6679
case_046.txt,5,20,5,20,3,11,3,11,1,2,10,2,0.076923,7.0,6.8182,-0.1818
case_047.txt,18,31,18,32,10,18,10,17,2,8,15,3,0.08,8.6,9.3333,0.7333
case_048.txt,9,26,9,28,3,9,3,8,1,2,7,2,0.1,7.0,7.6,0.6
case_049.txt,62,54,65,67,31,28,31,28,7,24,21,8,0.134615,9.4375,9.2222,-0.2153
case_050.txt,19,38,21,44,10,22,10,22,2,8,20,3,0.066667,8.3333,7.6667,-0.6667
case_051.txt,3,24,4,30,3,15,3,14,0,3,14,0,0.0,3.5,6.381,2.881
case_052.txt,9,23,9,25,6,15,6,15,2,4,13,2,0.105263,7.5,10.75,3.25
case_053.txt,22,32,22,40,11,20,11,20,3,8,17,4,0.107143,8.5455,7.6538,-0.8916
case_054.txt,78,63,90,90,47,43,46,43,8,38,35,10,0.098765,7.7308,6.9655,-0.7653
case_055.txt,22,28,25,32,13,17,13,17,4,9,13,5,0.153846,9.8667,8.3,-1.5667
case_056.txt,22,28,24,32,8,16,8,15,3,5,12,4,0.15,12.3,10.3333,-1.9667
case_057.txt,12,33,12,37,9,18,9,18,0,9,18,1,0.0,9.5556,9.05,-0.5056
case_058.txt,33,42,40,53,18,23,18,23,2,16,21,7,0.051282,12.0,8.6897,-3.3103
case_059.txt,30,51,37,54,15,28,15,28,2,13,26,3,0.04878,9.3182,7.7667,-1.5515
case_060.txt,10,32,11,38,5,18,5,18,1,4,17,3,0.045455,6.6,7.6667,1.0667
case_061.txt,16,24,16,28,9,14,9,14,0,9,14,2,0.0,10.8889,6.4706,-4.4183
case_062.txt,17,35,18,38,11,22,11,22,3,8,19,5,0.1,5.8333,7.32,1.4867
case_064.txt,6,26,7,26,2,17,2,16,0,2,16,1,0.0,9.0,9.4118,0.4118
case_065.txt,12,35,12,39,6,21,6,20,2,4,18,2,0.083333,6.1667,7.7826,1.6159
case_066.txt,22,25,24,29,18,14,18,14,4,14,10,5,0.142857,9.5,7.5,-2.0
case_067.txt,13,34,13,37,7,24,7,24,4,3,20,5,0.148148,9.7143,8.88,-0.8343
case_068.txt,36,41,39,54,24,28,23,28,5,18,23,6,0.108696,7.4615,8.2308,0.7692
case_069.txt,5,19,5,27,4,15,4,15,2,2,13,1,0.117647,8.25,7.6522,-0.5978
case_070.txt,28,36,30,36,17,18,17,18,3,14,15,7,0.09375,7.5556,8.2222,0.6667
case_071.txt,21,34,23,38,12,19,12,19,2,10,17,4,0.068966,8.0,7.9565,-0.0435
case_072.txt,18,28,18,29,14,23,14,23,2,12,21,1,0.057143,9.0714,9.0,-0.0714
case_073.txt,13,24,14,29,7,17,7,16,1,6,15,1,0.045455,10.25,12.1905,1.9405
case_074.txt,17,34,17,37,11,16,11,16,1,10,15,4,0.038462,6.0909,8.4118,2.3209
case_075.txt,13,24,14,28,3,14,3,14,1,2,13,2,0.0625,7.3333,6.9333,-0.4
case_076.txt,27,28,30,35,18,18,18,17,2,16,15,2,0.060606,8.9524,8.9565,0.0041
case_077.txt,26,31,26,40,14,20,14,19,2,12,17,4,0.064516,7.3571,7.8333,0.4762
case_078.txt,7,26,8,29,4,16,4,16,2,2,14,3,0.111111,6.8,6.7895,-0.0105
case_079.txt,64,69,85,95,41,39,41,38,13,28,25,19,0.19697,8.88,9.4828,0.6028
case_080.txt,15,26,15,31,9,18,8,18,2,6,16,2,0.083333,8.6667,9.4,0.7333
case_081.txt,14,30,16,31,6,17,6,17,2,4,15,3,0.095238,10.3333,8.0556,-2.2778
case_082.txt,18,29,22,33,13,23,13,22,2,11,20,2,0.060606,7.7333,10.6667,2.9333
case_083.txt,24,31,27,37,17,25,17,25,3,14,22,3,0.076923,10.2632,11.0968,0.8336
case_084.txt,14,26,15,34,7,14,7,14,1,6,13,2,0.05,10.0,12.4,2.4
case_085.txt,33,48,36,59,16,33,16,32,8,8,24,12,0.2,10.3125,8.1795,-2.133
case_086.txt,27,29,27,31,21,18,21,18,6,15,12,6,0.181818,9.0476,8.3,-0.7476
case_087.txt,16,31,20,37,9,18,9,18,3,6,15,4,0.125,6.0,7.1818,1.1818
case_088.txt,11,30,11,30,3,18,3,18,1,2,17,3,0.05,10.0,9.3333,-0.6667
case_089.txt,23,36,23,43,17,17,17,17,4,13,13,3,0.133333,9.4118,8.1429,-1.2689
case_090.txt,42,53,50,86,24,25,23,23,9,14,14,14,0.243243,9.1379,9.3111,0.1732
case_091.txt,23,34,28,39,13,20,13,20,4,9,16,6,0.137931,8.5,7.35,-1.15
case_092.txt,65,54,66,66,38,27,38,26,3,35,23,9,0.04918,8.7179,8.9143,0.1963
case_093.txt,26,41,34,52,12,25,12,24,3,9,21,6,0.090909,8.1176,9.375,1.2574
case_095.txt,21,42,23,47,10,26,10,26,0,10,26,0,0.0,9.2727,7.6071,-1.6656
case_096.txt,20,29,28,31,13,17,12,17,1,11,16,0,0.035714,11.75,8.1579,-3.5921
case_097.txt,18,18,26,24,10,11,10,11,4,6,7,7,0.235294,8.8571,7.5714,-1.2857
case_099.txt,17,35,20,53,10,21,10,21,5,5,16,6,0.192308,8.1818,6.4444,-1.7374
case_100.txt,25,28,26,33,16,18,16,18,3,13,15,3,0.096774,8.3529,9.0909,0.738
case_101.txt,11,25,13,29,6,15,6,15,2,4,13,2,0.105263,8.125,7.9444,-0.1806
case_102.txt,6,25,7,26,5,17,5,16,1,4,15,1,0.05,8.3333,9.4444,1.1111
case_103.txt,17,24,18,26,10,13,10,13,2,8,11,3,0.095238,13.6364,9.2667,-4.3697
case_104.txt,28,26,30,35,21,16,21,16,4,17,12,5,0.121212,9.6087,7.3478,-2.2609
case_106.txt,15,25,15,31,8,15,8,14,0,8,14,0,0.0,9.375,10.6316,1.2566
case_108.txt,15,33,15,38,9,22,9,22,1,8,21,1,0.033333,7.6667,8.0385,0.3718
case_109.txt,20,43,24,56,14,28,14,26,3,11,23,4,0.081081,8.5294,7.7059,-0.8235
case_110.txt,20,26,20,27,12,13,12,13,3,9,10,3,0.136364,8.0,6.7857,-1.2143
case_111.txt,22,41,26,46,14,25,13,24,0,13,24,3,0.0,6.8235,9.8214,2.9979
case_112.txt,20,30,21,36,12,16,12,16,2,10,14,2,0.076923,6.0769,6.6,0.5231
case_113.txt,14,23,16,25,10,14,10,14,3,7,11,2,0.142857,7.0,6.875,-0.125
case_114.txt,9,27,10,28,6,14,6,13,2,4,11,3,0.117647,9.0,10.1429,1.1429
case_115.txt,25,25,27,30,20,17,20,17,3,17,14,4,0.088235,10.2273,8.75,-1.4773
case_116.txt,9,26,10,28,7,12,7,12,2,5,10,2,0.117647,10.375,7.2308,-3.1442
case_117.txt,7,27,7,29,4,17,4,17,0,4,17,0,0.0,7.0,9.5263,2.5263
case_118.txt,7,21,8,28,6,15,6,15,3,3,12,3,0.166667,7.2857,8.619,1.3333
case_119.txt,22,33,24,34,14,17,14,17,5,9,12,5,0.192308,6.9375,7.3529,0.4154
case_120.txt,15,30,15,32,10,18,10,18,1,9,17,2,0.037037,8.8,9.7895,0.9895
case_121.txt,40,53,46,59,26,29,26,28,1,25,27,2,0.018868,9.5484,8.7419,-0.8065
case_122.txt,31,40,34,51,18,21,17,21,4,13,17,7,0.117647,9.0,10.6667,1.6667
case_123.txt,7,19,7,26,5,10,5,10,1,4,9,1,0.071429,11.4,9.0667,-2.3333
case_124.txt,5,27,5,29,3,17,3,16,1,2,15,0,0.055556,8.6667,9.4211,0.7544
case_125.txt,7,29,7,33,5,18,5,17,3,2,14,5,0.157895,9.8,7.8636,-1.9364
